,title,edited title,first_release_year,AS_releases,AU_releases,EU_releases,JP_releases,KO_releases,US_releases,n_releases,Australia,France,Germany,India,Ireland,Italy,Japan,Malaysia,Netherlands,People's Republic of China,Philippines,Poland,Russia,Spain,Sweden,Taiwan,United Kingdom,United States of America,Non-Japan based companies,n_companies,plattforms,unknown,id,slug,title
18,Cookie & Cream,Cookie & Cream,2007,,1,1,1,,1,4,,,,,,,1,,,,,,,,,,,1,1,2,Nintendo DS,,87794,cookie-cream,Cookie & Cream
64,イラロジVOW,Iraroji VOW,2007,,,,1,,,1,,,,,,,,,,,,,,,,,,,0,0,,,,,
10,Armored Core: For Answer,Armored Core: For Answer,2008,,2,2,5,3,2,14,,2,,,,,1,,,,,,,,,,,,2,4,"Microsoft Xbox 360,Sony PlayStation 3",1,38529,armored-core-for-answer,Armored Core: For Answer
51,Shadow Assault Tenchu,Shadow Assault Tenchu,2008,,1,1,1,1,1,5,,,,,,,1,,,,,,,,,,,,0,1,Microsoft Xbox 360,,107238,shadow-assaulttenchu,Shadow Assault/Tenchu
0,3D Dot Game Heroes,3D Dot Game Heroes,2009,1,1,1,1,1,1,6,1,,,,,,3,,,,,,,,,,,1,2,6,Sony PlayStation 3,1,,3d-dot-game-heroes,
25,Demon's Souls,Demon's Souls,2009,2,3,4,3,1,4,17,,1,,,,,3,,,,,,,,,,,1,2,5,Sony PlayStation 3,,43104,demons-souls,Demon's Souls
34,Fuuun Shinsengumi Bakumatsuden Portable,Fuuun Shinsengumi Bakumatsuden Portable,2009,,,,1,,,1,,,,,,,,,,,,,,,,,,,0,0,,,,,
35,Inugamike no Ichizoku,Inugamike no Ichizoku,2009,,,,1,,,1,,,,,,,1,,,,,,,,,,,,0,1,Nintendo DS,,85115,inugamike-no-ichizoku,Inugamike no Ichizoku
59,Tenchu: Shadow Assassins,Tenchu: Shadow Assassins,2009,1,2,2,3,1,2,11,,1,,,,,2,,,,,,,,,,,,1,3,"Nintendo Wii,Sony PlayStation Portable",,,,
62,Yatsu Hakamura,Yatsu Hakamura,2009,,,,1,,,1,,,,,,,,,,,,,,,,,,,0,0,,,,,
66,ニンジャブレイド,NINJA BLADE,2009,,1,1,3,1,1,7,,1,1,,,,5,,1,,,,2,,,,,2,7,14,"Microsoft Xbox 360,PC",2,45428,ninja-blade,Ninja Blade
68,己の信ずる道を征け,Onore no shinzuru michi wo ike,2009,,,,2,,,2,,,,,,,,,,,,,,,,,,,0,0,,,,,
21,Dark Souls,Dark Souls,2011,4,7,8,2,4,6,31,,1,,,,,3,,,,,,,,,,,1,2,5,"Microsoft Xbox 360,Sony PlayStation 3",,53619,dark-souls,Dark Souls
9,Armored Core V,Armored Core V,2012,2,2,2,2,2,2,12,,,,,,,7,,,,,,,,1,,,,1,8,"Microsoft Xbox 360,Sony PlayStation 3",,68537,armored-core-v,Armored Core V
23,Dark Souls: Artorias of the Abyss,Dark Souls: Artorias of the Abyss,2012,,,,,,2,2,,,,,,,,,,,,,,,,,,1,1,1,"Microsoft Xbox 360,Sony PlayStation 3",,,,
55,Steel Battalion: Heavy Armor,Steel Battalion: Heavy Armor,2012,1,1,1,2,,1,6,,,,,,,,,,,,,,,,,,,0,0,,,,,
16,Armored Core: Verdict Day,Armored Core: Verdict Day,2013,4,4,5,4,3,5,25,,,,,,,1,,,1,1,,,,1,,,1,4,7,"Microsoft Xbox 360,Sony PlayStation 3",2,83494,armored-core-verdict-day,Armored Core: Verdict Day
19,DARK SOULS II,DARK SOULS II,2014,2,7,7,6,,7,29,,1,,,,,7,,,,,,,,,,2,2,5,16,"Microsoft Xbox 360,PC,Sony PlayStation 3",4,65380,dark-souls-ii,Dark Souls II
17,Bloodborne,Bloodborne,2015,2,6,6,6,3,4,27,,,,1,,,4,,,3,,,,,,1,1,1,7,15,Sony PlayStation 4,4,72089,bloodborne,Bloodborne
22,Dark Souls II: Scholar of the First Sin,Dark Souls II: Scholar of the First Sin,2015,,7,7,7,,7,28,,,1,,,,6,,,,,,,,,,,2,3,9,"Microsoft Xbox 360,Microsoft Xbox One,PC,Sony PlayStation 3,Sony PlayStation 4",,72129,dark-souls-ii-scholar-of-the-first-sin,Dark Souls II: Scholar of the First Sin
20,DARK SOULS III,DARK SOULS III,2016,,8,11,4,,10,33,,1,,,,,13,1,,2,,,,,,1,1,2,8,28,"Microsoft Xbox One,PC,Sony PlayStation 4",7,77737,dark-souls-iii,Dark Souls III
24,Dark Souls: Remastered,Dark Souls: Remastered,2018,,,,,,,0,,,,,,,2,,,,,,,,,,,2,2,5,"Microsoft Xbox One,Nintendo Switch,PC,Sony PlayStation 4",1,109269,dark-souls-remastered,Dark Souls: Remastered
26,Deracine,Deracine,2018,,,,,,,0,,,,1,,,4,,,,,,,,,1,1,3,6,17,Sony PlayStation 4,7,113470,dracin,Déraciné
50,Sekiro: Shadows Die Twice,Sekiro: Shadows Die Twice,2019,,,,,,,0,1,,,,1,,9,,,1,,,,,,,,4,7,33,"Microsoft Xbox One,PC,Sony PlayStation 4",17,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,,57,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,,,,,
